bankcd,banknm,rivnm,rivdv,banklr,staddr,stchm,stchs,edaddr,edchm,edchs,len,plfwv,plfwl,plrivwith,bankwith,inslp,outslp,sttmx,sttmy,edtmx,edtmy,outstn,instn,gatecnt,pgatecnt,pipecnt,pumtcnt,bodysf,etcsf,mngrdtp,bkrdtp,hgebmttp,hgebmtst,bedtp,bedst,lwebmttp,lwebmtst,waystn,crstp,bedsoil
301050010004,오산2제,무주남대천,지방1급,좌,전라북도 무주군 무주읍 오산리,42,100,전라북도 무주군 무주읍 오산리,36,10,1290,,197.20∼202.77,83∼214,,1:2.0,1:2.0,262622,280051,262226,279007,,농경지(논) 및 주거지로 이용,,1,4,,양호,신설제방(2003년완공),비포장,,돌붙임,양호,,,,,직선부,단단면,모래+자갈
301050010005,장백2제,무주남대천,지방1급,좌,전라북도 무주군 무주읍 장백리,45,165,전라북도 무주군 무주읍 장백리,43,160,405,1575,203.77∼204.41,100∼140,4,1:2.0,1:2.0,262936,280535,262954,280189,,농경지(밭+과수원)로 이용,,,1,,양호,신설제방,비포장,,돌붙임,양호,,,,,직선부,단단면,모래+자갈
301050010006,장백3제,무주남대천,지방1급,좌,전라북도 무주군 무주읍 장백리,64,50,전라북도 무주군 무주읍 장백리,49,90,2960,,207.13∼217.79,62∼166,,1:2.0,1:2.0,264624,280772,263280,281082,,"농경지(논+인삼밭), 주거지로 이용",,1,10,,양호,신설제방공사중임,비포장,,"돌붙임, 돌망태",양호,돌망태,양호,,,사행부,단단면,모래+자갈
301050020000,대차3,무주남대천,지방1급,우,전라북도 무주군 무주읍 대차리,13,0,전라북도 무주군 무주읍 대차리,5,0,1600,1860,177.55~182.41,131~190,4,1:2.0,1:2.0,258070,277948,256942,278531,자연상태,주거지 및 농경지로 이용,,2,10,,양호,제체법면에 나무를 식재,비포장,,블록,보통,거석,보통,,,사행부,단단면,"사질토, 자갈"
301050020001,읍내1,무주남대천,지방1급,우,전라북도 무주군 무주읍 읍내리,26,10,전라북도 무주군 무주읍 읍내리,16,180,1830,,184.73~189.63,122~175,15,,1:0.3~1:2.0,260745,278941,258390,278288,"체육시설(트랙)이 있음, 조깅을 할 수 있는 산책로가 있음",주거지 및 농경지로 이용,,4,1,,양호,제방겸도로,,아스팔트,돌붙임,양호,,,자연석,양호,직선부,복단면,"사질토, 자갈"
301050020002,오산1제,무주남대천,지방1급,우,전라북도 무주군 무주읍 오산리,35,180,전라북도 무주군 무주읍 오산리,28,120,1460,,191.32∼196.35,115∼192,,1:2.0,1:1.0,262061,279320,260980,279038,,농경지(논+인삼밭) 및 주거지로 이용,,,5,,양호,상수원보호구역,비포장,,"돌붙임, 블록",보통,돌망태,보통,,,사행부,단단면,모래+자갈
301050020003,오산3제,무주남대천,지방1급,우,전라북도 무주군 무주읍 오산리,39,0,전라북도 무주군 무주읍 오산리,38,10,340,,198.81∼199.19,110∼143,4,1:2.0,1:1.0,262132,279640,262092,279467,,주거지로 이용,,,2,,양호,제방이 교량 상류간 신설됨,비포장,,돌붙임,양호,,,,,직선부,단단면,모래+자갈
301050020004,장백1제,무주남대천,지방1급,우,전라북도 무주군 무주읍 장백리,45,130,전라북도 무주군 무주읍 장백리,41,110,820,1575,202.06∼204.34,83∼154,4,1:2.0,1:2.0,262862,280479,262430,280207,,농경지(과수원+인삼밭)로 이용,,,3,,양호,신설제방(2003년완공),비포장,,"돌붙임, 돌망태",양호,돌망태,보통,,,사행부,단단면,모래+자갈
301050020005,하장백제,무주남대천,지방1급,우,전라북도 무주군 무주읍 장백리,49,150,전라북도 무주군 무주읍 장백리,46,195,555,1575,206.40∼207.22,94∼166,4,1:2.0,1:1.0,263122,281143,262822,280731,,주거지로 이용 및 농경지(논+과수원)으로 이용,,,6,,양호,천단에 parapet 설치,콘크리트,,돌붙임,양호,,,,,직선부,단단면,모래+자갈
301050020006,여의제,무주남대천,지방1급,우,충청북도 영동군 용화면 여의리,,,충청북도 영동군 용화면 여의리,,,130,,,,4,1:2.0,1:2.0,264330,281945,264212,281989,,농경지(논) 및 주거지(여의리)로 이용,,,1,,양호,신설제방임,비포장,,사각돌망태,양호,사각돌망태,양호,,,사행부,단단면,모래+자갈
301101010000,약목1제,영동천,지방1급,좌,충청북도 영동군 심천면 약목리,10,160,충청북도 영동군 심천면 초강리,0,80,2200,995,104.25~107.90,70~130,4,1:2.0,1:2.0,265602,300582,263815,301735,,농경지(논+비닐하우스) + 주거지로 이용,,,1,,보통,고압송유관 매설 지역임,"콘크리트(일부구간), 아스팔트(초강교상류 일부구간)",,돌망태(일부구간),보통,돌망태(일부구간),보통,,,직선부,단단면,모래+자갈
301101010001,오탄1제,영동천,지방1급,좌,충청북도 영동군 심천면 각계리,15,40,충청북도 영동군 심천면 각계리,13,160,530,995,110.68~111.27,103.5~124.5,4,1:2.0,1:2.0,266475,300393,266177,300513,,주거지 및 벽돌공장으로 이용,,1,,,양호,제방 종점부에 흙더미를 쌓아놓음,비포장,,돌먕태,보통,돌망태,보통,,,사행부,단단면,모래+자갈
